ID,Namba normal An_1,Namba normal An_2,Namba normal An_3,Namba normal An_4,Namba normal An_5,Namba normal An_6,Namba normal An_7,Namba hot Anger_1,Namba hot Anger_2,Namba hot Anger_3,Namba hot Anger_4,Namba hot Anger_5,Namba hot Anger_6,Namba hot Anger_7,BOA Anger 0_1,BOA Anger 0_2,BOA Anger 0_3,BOA Anger 0_4,BOA Anger 0_5,BOA Anger 0_6,BOA Anger 0_7,BOA Anger 3_1,BOA Anger 3_2,BOA Anger 3_3,BOA Anger 3_4,BOA Anger 3_5,BOA Anger 3_6,BOA Anger 3_7,BOA Anger 5_1,BOA Anger 5_2,BOA Anger 5_3,BOA Anger 5_4,BOA Anger 5_5,BOA Anger 5_6,BOA Anger 5_7,BOA Anger 8_1,BOA Anger 8_2,BOA Anger 8_3,BOA Anger 8_4,BOA Anger 8_5,BOA Anger 8_6,BOA Anger 8_7,BOA Anger 9_1,BOA Anger 9_2,BOA Anger 9_3,BOA Anger 9_4,BOA Anger 9_5,BOA Anger 9_6,BOA Anger 9_7,Namba normal Di_1,Namba normal Di_2,Namba normal Di_3,Namba normal Di_4,Namba normal Di_5,Namba normal Di_6,Namba normal Di_7,Namba hot Disgust_1,Namba hot Disgust_2,Namba hot Disgust_3,Namba hot Disgust_4,Namba hot Disgust_5,Namba hot Disgust_6,Namba hot Disgust_7,BOA Disgust 0_1,BOA Disgust 0_2,BOA Disgust 0_3,BOA Disgust 0_4,BOA Disgust 0_5,BOA Disgust 0_6,BOA Disgust 0_7,BOA Disgust 2_1,BOA Disgust 2_2,BOA Disgust 2_3,BOA Disgust 2_4,BOA Disgust 2_5,BOA Disgust 2_6,BOA Disgust 2_7,BOA Disgus 7_1,BOA Disgus 7_2,BOA Disgus 7_3,BOA Disgus 7_4,BOA Disgus 7_5,BOA Disgus 7_6,BOA Disgus 7_7,BOA Disgust 8_1,BOA Disgust 8_2,BOA Disgust 8_3,BOA Disgust 8_4,BOA Disgust 8_5,BOA Disgust 8_6,BOA Disgust 8_7,BOA Disgust 9_1,BOA Disgust 9_2,BOA Disgust 9_3,BOA Disgust 9_4,BOA Disgust 9_5,BOA Disgust 9_6,BOA Disgust 9_7,Namba normal Fe_1,Namba normal Fe_2,Namba normal Fe_3,Namba normal Fe_4,Namba normal Fe_5,Namba normal Fe_6,Namba normal Fe_7,Namba hot fe_1,Namba hot fe_2,Namba hot fe_3,Namba hot fe_4,Namba hot fe_5,Namba hot fe_6,Namba hot fe_7,BOA Fear 0_1,BOA Fear 0_2,BOA Fear 0_3,BOA Fear 0_4,BOA Fear 0_5,BOA Fear 0_6,BOA Fear 0_7,BOA Fear 3_1,BOA Fear 3_2,BOA Fear 3_3,BOA Fear 3_4,BOA Fear 3_5,BOA Fear 3_6,BOA Fear 3_7,BOA Fear 5_1,BOA Fear 5_2,BOA Fear 5_3,BOA Fear 5_4,BOA Fear 5_5,BOA Fear 5_6,BOA Fear 5_7,BOA Fear 6_1,BOA Fear 6_2,BOA Fear 6_3,BOA Fear 6_4,BOA Fear 6_5,BOA Fear 6_6,BOA Fear 6_7,BOA Fear 9_1,BOA Fear 9_2,BOA Fear 9_3,BOA Fear 9_4,BOA Fear 9_5,BOA Fear 9_6,BOA Fear 9_7,Namba normal Ha_1,Namba normal Ha_2,Namba normal Ha_3,Namba normal Ha_4,Namba normal Ha_5,Namba normal Ha_6,Namba normal Ha_7,Namba hot ha_1,Namba hot ha_2,Namba hot ha_3,Namba hot ha_4,Namba hot ha_5,Namba hot ha_6,Namba hot ha_7,BOA Happiness 0_1,BOA Happiness 0_2,BOA Happiness 0_3,BOA Happiness 0_4,BOA Happiness 0_5,BOA Happiness 0_6,BOA Happiness 0_7,BOA Happiness 2_1,BOA Happiness 2_2,BOA Happiness 2_3,BOA Happiness 2_4,BOA Happiness 2_5,BOA Happiness 2_6,BOA Happiness 2_7,BOA Happiness 5_1,BOA Happiness 5_2,BOA Happiness 5_3,BOA Happiness 5_4,BOA Happiness 5_5,BOA Happiness 5_6,BOA Happiness 5_7,BOA Happiness 7_1,BOA Happiness 7_2,BOA Happiness 7_3,BOA Happiness 7_4,BOA Happiness 7_5,BOA Happiness 7_6,BOA Happiness 7_7,BOA Happiness 9_1,BOA Happiness 9_2,BOA Happiness 9_3,BOA Happiness 9_4,BOA Happiness 9_5,BOA Happiness 9_6,BOA Happiness 9_7,Namba normal Sa_1,Namba normal Sa_2,Namba normal Sa_3,Namba normal Sa_4,Namba normal Sa_5,Namba normal Sa_6,Namba normal Sa_7,Namba hot sa_1,Namba hot sa_2,Namba hot sa_3,Namba hot sa_4,Namba hot sa_5,Namba hot sa_6,Namba hot sa_7,BOA Sadness 0_1,BOA Sadness 0_2,BOA Sadness 0_3,BOA Sadness 0_4,BOA Sadness 0_5,BOA Sadness 0_6,BOA Sadness 0_7,BOA Sadness 1_1,BOA Sadness 1_2,BOA Sadness 1_3,BOA Sadness 1_4,BOA Sadness 1_5,BOA Sadness 1_6,BOA Sadness 1_7,BOA Sadness 2_1,BOA Sadness 2_2,BOA Sadness 2_3,BOA Sadness 2_4,BOA Sadness 2_5,BOA Sadness 2_6,BOA Sadness 2_7,BOA Sadness 3 _1,BOA Sadness 3 _2,BOA Sadness 3 _3,BOA Sadness 3 _4,BOA Sadness 3 _5,BOA Sadness 3 _6,BOA Sadness 3 _7,BOA Sadness 6_1,BOA Sadness 6_2,BOA Sadness 6_3,BOA Sadness 6_4,BOA Sadness 6_5,BOA Sadness 6_6,BOA Sadness 6_7,Namba normal Sur_1,Namba normal Sur_2,Namba normal Sur_3,Namba normal Sur_4,Namba normal Sur_5,Namba normal Sur_6,Namba normal Sur_7,Namba hot Sur_1,Namba hot Sur_2,Namba hot Sur_3,Namba hot Sur_4,Namba hot Sur_5,Namba hot Sur_6,Namba hot Sur_7,BOA Surprise 0_1,BOA Surprise 0_2,BOA Surprise 0_3,BOA Surprise 0_4,BOA Surprise 0_5,BOA Surprise 0_6,BOA Surprise 0_7,BOA Surprise 1_1,BOA Surprise 1_2,BOA Surprise 1_3,BOA Surprise 1_4,BOA Surprise 1_5,BOA Surprise 1_6,BOA Surprise 1_7,BOA Surprise 4_1,BOA Surprise 4_2,BOA Surprise 4_3,BOA Surprise 4_4,BOA Surprise 4_5,BOA Surprise 4_6,BOA Surprise 4_7,BOA Surprise 7_1,BOA Surprise 7_2,BOA Surprise 7_3,BOA Surprise 7_4,BOA Surprise 7_5,BOA Surprise 7_6,BOA Surprise 7_7,BOA Surprise 8_1,BOA Surprise 8_2,BOA Surprise 8_3,BOA Surprise 8_4,BOA Surprise 8_5,BOA Surprise 8_6,BOA Surprise 8_7,Namba normal Neu_1,Namba normal Neu_2,Namba normal Neu_3,Namba normal Neu_4,Namba normal Neu_5,Namba normal Neu_6,Namba normal Neu_7,Namba hot Neu_1,Namba hot Neu_2,Namba hot Neu_3,Namba hot Neu_4,Namba hot Neu_5,Namba hot Neu_6,Namba hot Neu_7,BOA Neutral 0_1,BOA Neutral 0_2,BOA Neutral 0_3,BOA Neutral 0_4,BOA Neutral 0_5,BOA Neutral 0_6,BOA Neutral 0_7,BOA Neutral 2_1,BOA Neutral 2_2,BOA Neutral 2_3,BOA Neutral 2_4,BOA Neutral 2_5,BOA Neutral 2_6,BOA Neutral 2_7,BOA Neutral 3_1,BOA Neutral 3_2,BOA Neutral 3_3,BOA Neutral 3_4,BOA Neutral 3_5,BOA Neutral 3_6,BOA Neutral 3_7,BOA Neutral 5_1,BOA Neutral 5_2,BOA Neutral 5_3,BOA Neutral 5_4,BOA Neutral 5_5,BOA Neutral 5_6,BOA Neutral 5_7,BOA Neutral 6_1,BOA Neutral 6_2,BOA Neutral 6_3,BOA Neutral 6_4,BOA Neutral 6_5,BOA Neutral 6_6,BOA Neutral 6_7
11,4,2,1,1,2,6,1,4,3,1,1,4,5,1,7,4,1,2,4,5,1,7,4,1,2,4,6,1,7,4,1,1,1,6,1,5,5,1,2,4,6,1,6,4,1,1,6,6,1,1,1,1,1,1,4,5,4,3,1,1,6,5,1,5,4,1,3,4,7,1,5,4,1,1,1,6,1,3,3,1,5,1,3,1,4,4,1,1,1,5,1,5,5,1,1,1,5,1,5,4,1,1,1,5,1,5,4,1,1,7,5,1,4,4,1,1,1,5,1,5,3,1,1,1,6,1,5,5,1,1,1,6,1,6,5,1,2,4,6,1,6,3,1,1,1,4,1,1,1,6,1,1,1,1,3,2,4,1,4,2,1,1,1,5,1,1,1,1,1,1,7,1,1,1,1,2,3,5,1,1,3,1,1,1,6,1,1,1,1,1,1,4,1,1,1,3,4,6,1,6,4,4,1,4,5,1,5,5,5,1,1,1,1,7,1,1,1,1,3,1,7,2,4,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,7,1,1,1,2,7,1,1,2,2,1,1,7,2,1,4,5,1,2,7,4,1,4,1,1,1,7,2,1,4,3,1,1,5,4,1,4,5,1,2,7,2,1,1,1,1,1,1,1,7,1,1,4,1,1,1,5,1,1,1,1,1,3,5,1,1,1,1,1,1,7,1,1,1,1,1,4,6,1,1,1,1,1,1,7,1,1,1,1,1,1,7
12,5,3,2,3,2,4,3,6,2,1,1,2,3,2,6,2,1,1,2,3,2,7,3,1,1,1,4,2,7,3,1,2,2,3,1,6,2,1,1,1,3,2,6,2,1,2,2,3,2,1,2,2,3,1,2,6,2,1,2,1,3,1,3,5,3,2,2,2,4,3,5,3,1,2,2,4,3,3,4,1,4,1,6,3,5,3,2,2,2,3,3,3,3,3,2,2,3,3,5,2,2,2,2,3,3,6,2,1,2,2,3,2,5,2,2,2,2,3,3,6,3,2,3,2,5,3,6,3,2,2,2,3,3,6,3,1,2,2,4,2,6,3,2,3,3,5,2,1,1,6,1,1,1,2,2,2,4,1,2,2,2,2,1,5,2,2,2,3,1,1,6,1,1,1,3,1,1,5,2,2,1,4,1,1,6,1,2,1,3,2,2,5,2,3,2,4,2,4,2,6,1,3,3,3,4,2,5,3,4,2,2,4,1,7,2,2,1,2,5,1,6,1,2,1,2,4,1,6,1,3,2,2,4,1,7,1,3,2,2,4,2,7,1,3,2,2,1,2,2,1,1,6,2,2,3,2,6,2,2,2,2,3,2,6,2,2,5,4,2,3,4,3,2,3,2,3,2,6,2,2,4,3,3,2,5,3,3,2,2,3,2,5,1,2,1,2,1,3,1,1,6,2,1,2,1,1,1,6,3,1,1,2,1,2,5,2,1,2,2,2,1,6,2,2,2,2,1,1,5,2,1,2,1,1,1,5,2,1,1,2,1,1,6
13,4,2,3,5,2,5,5,4,2,2,3,5,5,3,6,5,2,3,5,5,3,7,4,2,2,4,6,3,6,4,2,2,5,6,2,7,5,1,3,5,5,2,7,2,2,2,2,5,3,5,3,2,4,1,5,6,3,2,2,2,1,5,6,5,2,2,2,1,5,4,5,3,2,5,3,4,3,7,3,2,1,2,6,2,6,3,2,3,3,6,3,4,4,3,4,3,5,3,4,2,2,3,2,5,4,4,3,3,3,5,5,2,7,3,1,4,1,5,3,6,4,2,3,3,5,3,4,5,4,4,3,5,3,4,5,3,6,5,4,3,5,3,1,3,3,6,3,4,5,5,2,1,3,6,5,2,4,3,6,3,2,4,2,4,3,2,2,5,4,2,5,3,2,2,5,3,2,5,1,1,2,5,3,2,5,3,2,2,3,1,1,4,5,2,4,5,3,4,2,5,2,5,3,7,5,1,4,5,5,2,4,5,3,7,2,5,3,1,3,3,6,1,3,2,1,4,3,7,2,3,4,2,2,3,6,2,2,2,3,4,3,7,1,4,3,3,1,4,3,1,1,7,2,3,4,3,6,2,5,2,1,4,3,7,2,3,3,2,2,1,5,1,5,2,2,3,1,7,2,2,3,2,3,5,7,4,3,2,3,4,2,5,3,6,4,1,3,5,1,3,6,4,2,3,3,1,4,6,3,2,3,3,1,2,6,2,2,4,4,1,3,6,3,2,3,4,1,2,6,5,1,4,3,2,2,6,2,4,3,4,1,3,7
14,4,4,2,3,3,6,1,4,5,1,3,6,4,1,4,6,1,2,6,5,1,5,2,2,1,4,3,2,5,2,1,2,5,3,1,6,2,1,3,5,6,1,6,3,1,3,6,5,1,1,1,2,4,1,1,5,3,3,2,4,5,4,2,4,4,2,4,4,3,2,5,2,2,3,4,5,2,6,2,1,1,4,5,1,3,4,1,2,4,3,3,5,5,3,4,4,4,2,5,3,1,2,4,5,2,3,4,1,3,6,4,1,5,4,3,3,4,6,2,3,5,2,4,5,4,1,5,4,1,2,5,5,2,4,3,2,3,4,4,2,3,4,2,3,5,3,2,1,1,4,5,2,2,4,3,2,4,3,4,3,2,1,1,2,4,2,1,5,2,3,5,3,4,2,3,1,1,5,2,3,3,3,1,2,4,3,2,2,3,3,3,2,4,3,2,3,4,4,2,5,3,5,3,4,2,1,4,4,5,1,2,3,1,6,3,3,1,4,4,1,6,3,5,2,3,4,1,6,3,2,1,3,4,1,6,4,2,1,3,3,1,4,4,5,1,2,3,2,2,4,3,3,1,2,3,2,6,2,1,4,3,2,2,6,3,2,2,2,3,2,6,2,2,3,5,2,3,4,2,1,5,4,2,3,7,4,1,2,5,2,2,6,1,2,1,1,1,3,2,1,6,2,2,3,3,2,2,5,2,2,1,2,3,2,6,5,4,2,2,5,3,3,2,3,2,4,4,2,3,1,1,1,3,2,1,5,2,2,1,2,3,2,6
15,6,1,1,1,1,7,1,6,1,1,1,1,4,1,6,1,1,1,1,6,1,6,1,1,1,2,4,1,7,1,1,1,1,2,1,7,1,1,1,1,4,1,7,1,1,1,1,3,1,1,1,1,1,1,1,6,2,1,1,1,5,2,4,6,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,7,4,2,5,1,2,3,4,1,1,2,1,1,1,6,1,2,1,1,1,1,3,4,5,1,1,1,6,1,1,5,4,1,1,1,5,1,3,4,1,1,1,6,1,2,1,1,1,2,6,1,2,1,1,1,1,6,1,4,1,1,1,1,4,1,2,1,3,1,1,1,3,1,1,5,1,1,1,5,1,1,1,1,1,1,6,2,1,6,1,1,1,3,3,1,1,1,1,5,5,1,2,4,1,1,3,2,2,1,1,1,1,5,4,3,1,1,5,1,2,1,2,1,1,1,2,3,3,1,1,1,4,1,1,3,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,7,1,1,1,1,2,2,3,3,1,1,1,1,1,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,7,1,3,1,1,1,1,6,1,1,1,1,1,1,6,1,1,3,1,1,1,6,1,1,1,3,2,2,6,2,1,2,1,1,1,1,3,6,2,1,1,1,1,1,6,4,1,1,1,1,2,4,3,1,1,1,1,2,3,6,1,1,1,1,6,1,1,1,1,1,1,1,7,6,1,1,1,1,6,1
16,2,2,1,2,2,2,3,4,3,1,2,3,3,1,3,3,1,2,2,2,1,4,2,1,2,3,3,1,4,3,1,2,3,2,1,3,3,1,2,2,2,1,4,3,1,2,3,3,3,2,2,1,2,1,2,5,4,3,2,3,4,3,2,3,2,1,4,1,2,1,2,2,1,3,2,3,2,3,2,1,2,2,3,1,2,3,1,4,3,3,1,4,3,1,2,2,3,1,4,3,1,3,2,3,1,4,3,1,2,3,2,1,2,2,1,2,2,2,1,3,3,1,2,2,3,1,2,3,1,2,2,3,1,2,2,1,2,2,2,1,2,3,1,3,3,4,1,1,1,3,1,1,1,1,1,1,3,1,1,1,2,2,2,1,2,1,2,2,1,1,3,1,1,1,2,2,2,1,1,2,2,1,1,1,1,2,2,1,3,2,2,1,3,2,2,2,2,2,1,5,2,2,1,3,2,1,3,2,3,1,2,2,1,5,2,2,1,2,2,1,5,2,2,1,2,2,1,5,1,2,1,2,1,1,4,1,1,1,2,2,1,5,1,2,1,1,1,2,1,1,1,3,2,3,1,3,5,2,1,2,3,1,2,5,2,1,2,2,1,2,4,2,1,2,2,1,2,4,2,1,2,3,1,2,3,2,2,2,3,1,2,3,2,4,1,1,1,2,1,2,5,1,1,1,2,1,1,3,2,2,1,2,1,2,2,1,1,1,2,1,1,4,1,1,1,1,1,1,6,2,1,1,2,1,1,4,1,1,1,2,1,1,5
17,1,1,1,5,1,6,3,1,1,1,4,4,1,3,7,2,1,3,1,4,1,6,1,1,1,2,1,1,7,2,1,1,1,5,1,7,3,1,1,2,4,1,5,4,1,1,5,1,1,1,1,1,3,1,1,7,1,1,1,1,4,1,7,5,1,1,3,1,4,1,1,1,1,5,1,5,2,4,1,1,1,1,1,6,6,1,1,1,2,4,1,4,1,1,7,1,4,1,5,3,1,5,3,7,1,5,1,1,1,6,5,1,4,1,1,7,1,5,1,4,2,1,5,3,5,1,4,5,1,4,3,7,1,5,1,1,5,3,6,1,7,2,1,1,3,5,1,1,1,7,1,1,1,1,1,1,5,1,3,1,3,1,1,4,1,1,1,5,1,1,7,1,1,1,1,4,2,1,1,1,4,1,1,1,5,1,1,1,5,4,3,1,4,1,1,2,1,1,1,6,1,1,1,1,1,3,1,4,1,5,1,1,1,7,1,1,1,1,1,1,6,1,1,2,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,7,1,1,2,1,7,1,1,1,1,1,1,7,1,1,1,1,3,1,6,1,1,1,3,1,1,7,1,1,1,1,1,1,5,1,3,1,1,3,1,5,1,1,1,1,4,1,1,1,7,1,1,1,1,1,1,7,3,1,1,4,1,2,5,4,1,1,4,1,1,7,5,1,1,1,1,1,5,4,1,1,1,1,1,6,4,1,1,2,1,2,7
18,4,1,1,1,1,7,1,6,1,1,1,1,3,1,7,1,1,1,1,4,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,3,3,1,5,1,1,1,1,6,1,4,3,1,1,1,5,1,3,1,1,3,1,4,1,6,1,1,1,1,1,1,6,2,1,1,1,7,1,2,2,1,1,1,2,1,7,1,1,1,2,1,1,7,2,1,1,1,4,1,6,1,1,1,1,4,1,6,3,1,1,1,1,1,6,1,1,1,1,7,1,4,1,1,1,4,1,1,1,1,4,1,1,1,2,1,1,1,1,3,5,1,1,1,4,1,1,1,2,1,1,5,1,1,1,2,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,2,5,1,1,1,7,1,4,1,1,1,1,6,1,3,1,1,1,1,7,1,2,1,1,2,1,6,1,2,2,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,7,1,1,1,1,7,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,4,1,1,7,1,1,1,1,1,1,1,7,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,5,1,1,1,1,1,2,7,2,1,1,1,1,2,5,2,1,1,1,1,2,4,3,1,1,1,1,3,1,2,1,1,1,1,2,1,2,1,1,1,1,3,1
19,5,4,1,4,3,3,2,5,5,1,3,6,6,2,6,6,1,3,5,4,1,7,6,1,5,6,6,1,6,7,1,4,6,6,1,5,6,1,6,6,5,1,7,5,1,5,4,5,1,2,2,1,2,1,2,6,5,4,2,4,4,5,3,5,4,1,4,3,5,2,4,2,2,3,2,4,2,5,4,1,3,2,5,2,4,6,1,4,5,5,2,5,5,1,4,4,6,1,4,5,1,4,4,5,2,5,5,4,5,7,4,3,5,6,1,4,6,6,1,4,6,1,3,5,6,1,5,6,1,5,5,5,1,6,6,1,4,5,5,2,4,6,1,4,6,5,1,2,2,5,3,1,2,3,2,2,5,2,4,3,1,2,2,3,3,1,2,3,2,1,3,2,2,2,3,4,3,4,2,4,4,4,2,2,5,2,1,2,3,5,3,2,2,2,5,3,4,4,2,5,3,5,3,5,6,1,6,5,5,2,3,3,2,4,3,4,2,4,3,3,2,3,4,2,3,3,2,2,2,4,1,3,4,4,3,5,3,2,5,5,2,3,2,4,3,3,3,1,2,4,3,3,3,6,1,4,6,4,1,4,5,1,3,6,3,1,4,5,1,3,6,3,2,5,5,1,2,6,4,1,4,6,1,3,7,4,2,4,6,1,3,6,5,1,2,2,1,2,1,2,6,2,2,1,2,1,2,6,2,2,1,2,1,2,5,2,1,2,2,1,2,5,3,2,3,2,1,2,6,3,3,2,2,1,2,6,2,2,1,2,2,2,5
20,3,1,1,2,1,5,3,2,6,1,6,6,3,3,1,6,1,6,6,2,3,5,3,1,3,4,4,6,5,5,1,1,6,2,6,4,5,1,5,4,5,2,5,4,1,2,4,2,6,5,2,1,6,2,5,5,2,3,1,2,3,4,4,5,1,1,1,1,6,5,2,1,1,5,1,5,2,6,4,1,7,6,7,2,5,2,1,1,1,4,5,5,4,1,1,2,7,6,3,1,1,1,2,4,4,2,2,1,6,7,5,5,6,4,1,1,3,6,7,2,7,1,2,3,1,5,7,7,1,7,7,7,4,5,6,1,7,2,7,3,5,6,1,6,6,7,3,2,1,6,1,1,2,5,2,2,6,1,4,1,6,3,4,2,3,2,5,2,2,2,3,1,1,1,2,3,4,1,1,1,2,2,1,1,4,1,1,1,3,4,3,2,4,1,2,3,2,4,1,7,1,6,3,2,5,1,5,3,4,4,1,1,1,7,1,1,1,2,2,1,5,1,1,5,1,1,1,7,2,1,5,1,3,1,7,1,1,5,2,2,1,7,2,2,6,2,2,1,1,1,2,1,3,2,1,3,6,3,5,2,5,1,3,7,2,6,1,1,5,1,1,1,2,2,1,1,1,6,2,4,2,6,1,2,6,2,4,1,6,1,5,6,1,5,1,1,1,2,1,3,2,1,1,4,4,1,1,3,1,1,1,5,1,1,1,3,2,1,1,1,2,1,3,2,1,2,2,5,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2
21,4,1,1,1,1,3,1,3,1,1,1,6,3,1,1,1,1,1,7,1,1,3,1,1,2,2,2,1,5,1,1,1,2,4,1,1,6,1,1,3,2,1,5,1,1,2,3,4,1,2,1,1,1,1,5,1,3,1,1,1,1,3,1,2,1,1,1,1,3,1,1,1,1,6,2,1,1,2,1,1,1,1,6,1,2,1,1,1,2,3,1,3,1,1,2,2,3,1,1,1,1,1,4,3,1,1,1,1,1,5,2,1,4,1,1,4,1,1,1,1,1,1,5,4,1,1,1,1,1,5,5,1,1,1,1,1,5,2,1,1,2,1,1,1,3,5,1,1,1,5,1,1,2,1,1,1,3,2,1,1,1,1,1,1,5,1,1,2,1,1,3,1,1,1,1,1,1,1,4,2,1,1,1,1,5,2,1,1,1,1,2,1,4,3,1,1,1,1,1,6,1,1,1,3,1,1,4,1,1,1,1,1,1,7,2,2,1,1,1,1,7,1,1,1,1,1,1,7,3,1,1,1,1,1,6,2,1,1,1,1,1,7,1,1,1,1,1,1,1,5,1,3,1,1,1,1,6,1,1,1,1,3,1,6,1,1,1,1,3,1,7,1,2,1,1,1,1,3,1,2,1,1,1,1,7,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,7,1,1,1,1,1,4,2,2,1,1,1,1,4,2,1,1,1,1,1,1,7,1,1,1,1,1,1,4,1,1,1,1,5,1,4,1,1,1,1,1,1,6
22,4,1,1,1,1,3,1,6,1,1,1,1,2,1,5,2,1,1,2,2,1,4,1,1,1,1,2,2,5,1,1,1,1,2,1,1,4,1,2,3,2,1,5,1,1,1,1,2,1,3,1,1,1,1,5,2,5,1,1,1,1,4,1,4,1,1,1,1,3,1,2,1,1,2,1,5,1,2,1,1,2,1,3,3,5,1,1,1,1,3,1,3,1,1,1,1,4,1,5,2,1,1,1,2,2,5,1,1,1,1,3,1,5,2,1,1,1,2,1,6,2,1,1,2,3,1,4,2,1,1,1,2,1,6,1,1,1,2,2,1,5,1,1,1,1,3,1,1,1,5,1,1,1,2,1,1,4,1,1,1,2,2,1,1,1,1,5,1,2,1,1,1,1,4,2,2,1,1,1,1,4,1,1,1,4,2,1,2,2,1,1,1,2,1,3,3,1,2,1,4,1,1,2,4,1,1,2,2,1,1,1,2,1,5,1,1,1,1,5,1,4,1,3,1,1,3,1,6,1,1,1,1,2,1,6,1,1,1,1,3,1,6,2,1,1,1,1,1,1,1,2,5,1,1,1,1,5,1,1,5,1,1,1,2,3,1,5,1,1,1,2,4,1,1,1,1,1,4,1,3,1,2,1,1,5,2,1,2,1,1,1,3,2,3,2,1,1,1,1,4,2,3,1,1,1,1,4,3,4,1,1,1,2,3,3,3,1,1,1,2,2,4,3,1,1,1,1,2,4,2,1,1,1,1,2,6,1,1,1,1,1,1,6
23,4,2,1,1,1,4,4,3,4,1,1,6,3,1,6,2,1,1,4,4,1,5,2,1,1,2,4,1,5,3,1,1,3,4,1,5,2,1,1,1,4,1,5,2,1,1,1,5,1,4,2,1,3,1,5,4,4,1,1,3,4,3,4,4,1,1,1,1,5,2,5,2,1,2,2,5,2,6,2,1,2,1,5,1,4,1,1,1,2,4,1,4,2,1,2,2,6,1,2,2,1,4,2,3,2,1,4,1,1,7,3,1,5,1,1,1,3,5,1,4,2,1,2,4,4,2,5,1,1,1,3,6,1,5,5,1,1,2,6,1,5,1,1,1,1,5,1,1,1,4,2,2,1,4,1,1,2,5,3,3,3,1,1,3,1,1,3,6,1,1,4,1,1,1,4,2,3,1,2,2,2,4,1,1,5,1,1,1,3,1,1,1,4,3,1,4,1,1,1,6,1,2,5,5,1,1,3,2,5,1,1,1,1,7,1,1,2,2,1,1,4,1,2,3,1,1,1,6,1,2,1,1,1,1,7,1,1,2,2,3,1,5,3,4,1,1,1,1,1,1,1,7,2,5,1,4,6,4,1,1,1,1,1,7,1,1,1,3,1,1,6,1,1,2,2,1,2,7,2,1,1,4,1,1,7,2,1,1,1,1,1,7,1,1,1,1,1,4,1,4,4,2,1,1,2,2,1,7,1,1,1,1,1,1,7,1,1,3,1,2,1,6,1,1,1,1,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,7
24,2,2,1,4,1,1,4,6,1,1,2,2,3,2,5,2,1,3,5,3,1,7,1,1,1,1,4,1,7,2,1,1,2,4,1,5,1,1,1,1,4,1,7,1,1,1,1,4,1,2,1,1,2,1,4,4,4,2,1,1,3,2,4,5,2,1,1,1,3,3,3,2,1,2,1,2,4,2,2,1,2,1,4,4,5,2,1,1,2,3,3,5,2,1,2,3,3,2,5,2,1,1,2,2,3,2,3,1,2,5,2,2,6,2,1,1,2,4,1,5,2,1,1,3,3,3,4,2,1,2,2,2,3,5,3,1,3,2,2,2,5,2,1,1,2,3,4,1,2,1,3,2,1,5,1,2,3,2,2,1,4,1,1,3,2,2,1,4,1,1,4,1,2,1,4,2,2,4,1,2,1,5,1,1,4,2,2,1,4,1,2,3,2,2,1,5,4,1,1,3,2,2,4,6,2,1,2,2,3,2,1,3,1,6,1,1,2,1,2,1,5,2,1,2,1,3,1,5,1,1,2,1,2,1,6,2,1,1,1,2,1,6,2,1,3,1,2,3,1,2,1,5,2,2,2,1,5,1,2,1,2,1,1,6,1,2,1,2,5,1,3,1,2,1,2,1,2,5,2,2,1,2,2,1,5,1,2,1,2,1,1,4,1,3,2,1,1,3,1,2,5,3,1,1,1,1,2,6,2,2,2,2,1,1,6,2,2,1,1,2,2,6,3,1,1,1,2,1,5,2,1,1,2,1,2,6,1,1,2,1,1,1,6
